Doc ID,Review,Polarity
1,Wow... Loved this place.,positive
2,Crust is not good.,negative
3,Not tasty and the texture was just nasty.,negative
4,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,positive
5,The selection on the menu was great and so were the prices.,positive
6,Now I am getting angry and I want my damn pho.,negative
7,Honeslty it didn't taste THAT fresh.),negative
8,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,negative
9,The fries were great too.,positive
10,A great touch.,positive
11,Service was very prompt.,positive
12,Would not go back.,negative
13,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,negative
14,"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",positive
15,I was disgusted because I was pretty sure that was human hair.,negative
16,I was shocked because no signs indicate cash only.,negative
17,Highly recommended.,positive
18,Waitress was a little slow in service.,negative
19,"This place is not worth your time, let alone Vegas.",negative
20,did not like at all.,negative
21,The Burrittos Blah!,negative
22,"The food, amazing.",positive
23,Service is also cute.,positive
24,I could care less... The interior is just beautiful.,positive
25,So they performed.,positive
26,That's right....the red velvet cake.....ohhh this stuff is so good.,positive
27,waste of money,negative
28,"This hole in the wall has great Mexican street tacos, and friendly staff.",positive
29,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",negative
30,The worst was the salmon sashimi.,negative
31,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",positive
32,This was like the final blow!,negative
33,I found this place by accident and I could not be happier.,positive
34,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",negative
35,"Overall, I like this place a lot.",positive
36,The only redeeming quality of the restaurant was that it was very inexpensive.,positive
37,Ample portions and good prices.,positive
38,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",negative
39,My first visit to Hiro was a delight!,positive
40,Service sucks.,negative
41,The shrimp tender and moist.,positive
42,There is not a deal good enough that would drag me into that establishment again.,negative
43,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,negative
44,"On a positive note, our server was very attentive and provided great service.",positive
